Timestamp,X,Y,Z
16-7月-2020 12:32:32.428,-6.74677,-8.895252,0.034877
16-7月-2020 12:32:32.528,-4.691694,-7.586673,0.713267
16-7月-2020 12:32:32.627,-3.848198,-8.810379,1.100362
16-7月-2020 12:32:32.727,-2.595453,-7.589218,-4.261339
16-7月-2020 12:32:32.827,-6.235433,-10.363848,1.487906
16-7月-2020 12:32:32.926,-4.615801,-6.37629,1.016686
16-7月-2020 12:32:33.026,-9.0644,-9.01171,0.336949
16-7月-2020 12:32:33.126,-8.912317,-6.453829,-1.59643
16-7月-2020 12:32:33.226,-6.268215,-7.7904,-2.280358
16-7月-2020 12:32:33.325,-5.246889,-8.67985,1.295107
16-7月-2020 12:32:33.425,-3.421734,-7.307205,1.876348
16-7月-2020 12:32:33.525,-3.360362,-8.268206,2.016606
16-7月-2020 12:32:33.624,-3.5587,-8.789422,1.806144
16-7月-2020 12:32:33.724,-3.110831,-7.506889,1.819915
16-7月-2020 12:32:33.824,-4.512666,-11.158546,3.441493
16-7月-2020 12:32:33.923,-1.24047,-6.455476,-0.214953
16-7月-2020 12:32:34.023,-2.826422,-6.708001,-0.56762
16-7月-2020 12:32:34.123,-2.974165,-8.503667,0.082928
16-7月-2020 12:32:34.223,-2.247426,-7.714208,-3.258125
16-7月-2020 12:32:34.322,-4.94362,-9.057814,-2.972219
16-7月-2020 12:32:34.422,-7.249125,-14.040503,-4.208947
16-7月-2020 12:32:34.522,-4.823569,-7.8383,0.393681
16-7月-2020 12:32:34.621,-3.324586,-9.208401,3.086881
16-7月-2020 12:32:34.721,-1.505719,-5.916746,-0.399968
16-7月-2020 12:32:34.821,-5.02984,-8.214917,1.335373
16-7月-2020 12:32:34.920,-7.028484,-7.844737,-0.681233
16-7月-2020 12:32:35.020,-6.608308,-6.641389,-1.085692
16-7月-2020 12:32:35.120,-13.02232,-13.321248,-1.670077
16-7月-2020 12:32:35.220,-6.792575,-5.048402,-0.507145
16-7月-2020 12:32:35.319,-5.956114,-3.431764,-3.383264
16-7月-2020 12:32:35.419,-2.485581,-7.113358,1.887425
16-7月-2020 12:32:35.519,-3.38057,-11.266322,-13.699661
16-7月-2020 12:32:35.618,-2.399959,-8.397238,-1.241967
16-7月-2020 12:32:35.718,-1.710194,-9.379944,-1.007704
16-7月-2020 12:32:35.818,-3.359763,-8.649613,-0.869392
16-7月-2020 12:32:35.917,-4.167484,-8.851543,-0.452659
16-7月-2020 12:32:36.017,-4.094585,-9.225915,-0.557291
16-7月-2020 12:32:36.117,-4.161945,-8.731493,-0.362546
16-7月-2020 12:32:36.217,-5.075945,-8.76652,-0.111368
16-7月-2020 12:32:36.316,-5.232669,-7.995174,0.033081
16-7月-2020 12:32:36.416,-4.816983,-8.330028,-0.462089
16-7月-2020 12:32:36.516,-4.895719,-8.18453,-0.536634
16-7月-2020 12:32:36.615,-4.668642,-8.725206,-1.374741
16-7月-2020 12:32:36.715,-4.697681,-8.812025,-0.201182
16-7月-2020 12:32:36.815,-4.938081,-8.370144,-0.335003
16-7月-2020 12:32:36.914,-4.969815,-8.499026,-0.626447
16-7月-2020 12:32:37.014,-4.283792,-8.551866,-0.680635
16-7月-2020 12:32:37.114,-3.33716,-9.235794,-0.859513
16-7月-2020 12:32:37.214,-3.763324,-9.083411,-0.553998
16-7月-2020 12:32:37.313,-3.549419,-8.874895,-0.530647
16-7月-2020 12:32:37.413,-3.870651,-8.568482,-0.875529
16-7月-2020 12:32:37.513,-3.504363,-8.979826,-0.951571
16-7月-2020 12:32:37.612,-3.082989,-9.224418,-0.195793
16-7月-2020 12:32:37.712,-3.502117,-8.171208,-0.683179
16-7月-2020 12:32:37.812,-4.146228,-8.668025,-1.42354
16-7月-2020 12:32:37.911,-3.902684,-8.962912,-0.907413
16-7月-2020 12:32:38.011,-5.1213,-9.999805,0.273481
16-7月-2020 12:32:38.111,-6.273305,-7.355404,-0.479752
16-7月-2020 12:32:38.211,-6.659501,-7.092102,-1.116528
16-7月-2020 12:32:38.310,-7.027885,-6.421347,-1.082848
16-7月-2020 12:32:38.410,-7.165749,-7.222032,-2.04385
16-7月-2020 12:32:38.510,-5.634882,-7.543413,-1.012045
16-7月-2020 12:32:38.609,-6.380781,-8.575367,-1.120869
16-7月-2020 12:32:38.709,-6.264623,-7.069649,-1.408122
16-7月-2020 12:32:38.809,-8.108039,-8.095914,-1.414558
16-7月-2020 12:32:38.908,-6.209238,-8.986862,0.193098
16-7月-2020 12:32:39.008,-5.227579,-7.875722,-1.222508
16-7月-2020 12:32:39.108,-4.503385,-6.149961,-0.573907
16-7月-2020 12:32:39.208,-4.996011,-7.539072,-0.416135
16-7月-2020 12:32:39.306,-4.932692,-9.052725,-0.970731
16-7月-2020 12:32:39.407,-2.886747,-10.219099,-7.024293
16-7月-2020 12:32:39.507,-8.400232,-10.270742,0.964145
16-7月-2020 12:32:39.606,-7.552844,-7.017407,-0.364642
16-7月-2020 12:32:39.706,-5.272336,-4.468657,-0.256117
16-7月-2020 12:32:39.806,-7.227271,-5.489834,-0.020058
16-7月-2020 12:32:39.906,-7.164551,-7.76615,-0.244741
16-7月-2020 12:32:40.005,-8.308922,-10.477013,-1.415007
16-7月-2020 12:32:40.105,-7.147337,-4.786447,-5.406158
16-7月-2020 12:32:40.205,-5.807922,-6.652316,-0.273182
16-7月-2020 12:32:40.304,-6.310128,-5.036576,-1.123713
16-7月-2020 12:32:40.404,-7.252269,-5.317991,-1.209485
16-7月-2020 12:32:40.504,-6.922355,-7.143146,-0.484692
16-7月-2020 12:32:40.603,-6.66983,-10.505154,0.387993
16-7月-2020 12:32:40.703,-7.241192,-8.588091,0.257764
16-7月-2020 12:32:40.803,-5.521119,-5.690267,-0.089214
16-7月-2020 12:32:40.903,-4.307443,-4.442462,-0.303718
16-7月-2020 12:32:41.002,-6.970405,-6.714138,-0.119901
16-7月-2020 12:32:41.102,-9.989177,-9.720486,-1.724414
16-7月-2020 12:32:41.202,-6.448141,-5.084776,-2.354454
16-7月-2020 12:32:41.301,-5.139562,-7.204668,-1.074915
16-7月-2020 12:32:41.401,-2.482587,-5.120701,0.251327
16-7月-2020 12:32:41.501,-3.867208,-7.64625,0.215402
16-7月-2020 12:32:41.600,-8.725206,-8.093969,-3.809279
16-7月-2020 12:32:41.700,-3.574267,-8.5836,1.758992
16-7月-2020 12:32:41.800,-8.153694,-8.595276,-2.203119
16-7月-2020 12:32:41.900,-4.782106,-5.942193,0.867746
16-7月-2020 12:32:41.999,-1.958078,-6.385721,0.710872
16-7月-2020 12:32:42.099,-6.82356,-7.241042,-0.441432
16-7月-2020 12:32:42.199,-8.569679,-9.845925,1.37055
16-7月-2020 12:32:42.298,-5.926027,-7.595954,-4.793332
16-7月-2020 12:32:42.398,-5.339995,-7.638466,-0.412841
16-7月-2020 12:32:42.498,-1.155148,-4.686904,3.175197
